title,episode,genre,platform,poster,status,trope,year
my liberation notes,16,"melodrama, romance, slice of life",netflix,https://i.mydramalist.com/jd5jw_4c.jpg?v=1,Done,"opposite attracts, slow burn, strangers to lovers",2022
my love from the star,21,"comedy, fantasy, melodrama, romance","iQIYI, netflix, viu",https://i.mydramalist.com/d0dQAc.jpg?v=1,Done,"childhood crush, enemies to lovers, love triangle, past-life",2014
my lovely liar,,"comedy, mystery, romance",viu,,In progress,,2023
my man is cupid,16,"fantasy, romance",,,Done,"destiny, past-life, tsundere",2023
my name,8,"action, crime, thriller",netflix,https://i.mydramalist.com/jD3br_4c.jpg?v=1,Done,"enemies to lovers, undercover",2021
my perfect stranger,16,"fantasy, mystery, romance, thriller",viu,,Done,,2023
my sweet mobster,16,"comedy, romance",viu,,In progress,"childhood crush, found family, sugar-and-ice personality",2024
no gain no love,12,"comedy, romance",,,Done,contract marriage,2024
oasis,,"historical, romance",,,In progress,,2023
oh my venus,16,"comedy, romance",viu,,Done,,
once upon a small town,12,"romance, slice of life",netflix,,Done,,2022
one dollar lawyer,12,"comedy, legal",disney+,,Done,,2022
one ordinary day,8,"crime, legal, mystery, thriller","netflix, viu",,Done,,2021
our beatiful summer,2,"school, slice of life",,https://i.mydramalist.com/60lvAO_4c.jpg?v=1,Done,healing family trauma,2024
police university,16,"action, crime",netflix,,Done,,2021
princess hours,24,"drama, romance",viu,https://i.mydramalist.com/b30NEc.jpg?v=1,Done,"arranged marriage, tsundere",2006
private lives,16,"crime, romance, thriller",netflix,,Done,,2020
revenge of others,10,"drama, mystery, school, thriller",disney+,,Done,"destiny, forced proximity, friends to lovers, slow burn",2022
rookie cops,16,"drama, romance, thriller",disney+,,Done,,2022
school 2017,16,"drama, romance, school",netflix,,Done,,2017
school 2021,16,"drama, romance, school",,,Done,,2021
search,10,"action, thriller",iQIYI,,Done,,2020
seasons of blossom,16,"drama, romance, school, thriller",apple tv,,Done,,2022
see you in my 19th life,12,"drama, fantasy, romance",netflix,,Done,"first love, past-life, reincarnation",2023
signal,16,"crime, mystery, thriller","amazon prime, iQIYI, netflix",,Done,,2016
sky castle,20,"drama, thriller","disney+, netflix",,Done,,2019
snowdrop,16,"drama, romance",disney+,,Done,,2021
something in the rain,16,"melodrama, romance","netflix, viu",,Done,,2018
start-up,16,"drama, romance, slice of life",netflix,,Done,,2020
strong woman do bong soon,16,"comedy, crime, fantasy, romance","disney+, netflix",,Done,,2017
summer strike,12,"romance, slice of life","netflix, viu",,Done,,2022
sweet home,10,"action, thriller",netflix,,Done,,2020
sweet home 2,8,"action, fantasy, thriller",,,Done,,2023
taxi driver,16,"action, crime, thriller","netflix, viu",,Done,,2021
taxi driver (season 2),16,"action, crime, thriller","netflix, viu",,Done,"undercover, vigilante",2023
the atypical family,12,"fantasy, romance",netflix,https://i.mydramalist.com/kAWyDd_4c.jpg?v=1,Done,"family secrets, strangers to lovers",2024
the first responders,12,"action, crime, drama, thriller",disney+,,Done,,2022
the first responders (season 2),12,"action, crime, romance, thriller",disney+,,Done,,2023
the forbidden marriage,12,"comedy, historical, mystery, romance",,https://i.mydramalist.com/1DPrK_4c.jpg?v=1,Done,"love triangle, secret identity",2021
the glory,16,"drama, thriller",netflix,,Done,,2022
the good bad mother,14,"comedy, drama, slice of life",netflix,https://i.mydramalist.com/E5x540_4s.jpg?v=1,Done,"high school romance, reunited ex-lovers",2023
the great shaman: ga doo shim,12,"fantasy, school, thriller",iQIYI,,Done,,2021
the heirs,20,"drama, romance","iQIYI, netflix",,Done,,2013
the judge from hell,16,"crime, romance, thriller",disney+,https://i.mydramalist.com/jQ37oy_4c.jpg?v=1,Done,"cat-and-mouse chase, deals with the devil, humanizing the mosnter, supernatural romance",2024
the k2,16,"action, thriller",iQIYI,,Done,,2016
the school nurses files,6,fantasy,netflix,,Done,,2020
the smile has left your eyes,16,"drama, romance",iQIYI,,Done,,2018
the story of park’s marriage contract,,"comedy, fantasy, romance",viu,,In progress,,2023
the tale of nokdu,16,"historical, mystery, romance","iQIYI, netflix",,Done,,2019
the uncanny counter,16,"action, fantasy, thriller",netflix,,Done,,2021
the uncanny counter (season 2),12,"action, fantasy, thriller",netflix,,Done,,2023
the worst of evil,12,"action, crime, romance, thriller",disney+,https://i.mydramalist.com/BdpXkz_4c.jpg?v=1,Done,"forced proximity, undercover",2023
thirty but seventeen,16,"drama, romance",netflix,,Done,,2018
through the darkness,12,"crime, thriller","netflix, viu",,Done,,2022
true beauty,16,"comedy, romance, school","netflix, viu",,Done,,2020
twenty five twenty one,16,"romance, slice of life, sport",netflix,,Done,,2022
twinkling watermelon,16,"comedy, fantasy, romance",viu,,In progress,,2023
ultimate weapon alice,12,"action, romance, thriller",,,Done,"amnesia, high school romance",2022
uncontrollably fond,20,"melodrama, romance","iQIYI, netflix, viu",https://i.mydramalist.com/1oRBdc.jpg?v=1,Done,"reunited ex-lovers, rich guy/poor girl",2016
vagabond,16,"action, crime, mystery, thriller",netflix,,Done,love triangle,2019
vigilante,8,"action, crime, thriller",disney+,,Done,"undercover, vigilante",2023
weak hero class 1,8,"action, drama, school, thriller",amazon prime,,Done,"friendship, tsundere",2022
weighlifting fairy kim bok joo,16,"romance, slice of life",netflix,,Done,,2016
welcome to samdalri,16,"romance, slice of life",netflix,https://i.mydramalist.com/wJwdQ1_4c.jpg?v=1,In progress,"childhood sweethearts, first love, friends to lovers, reunited ex-lovers",2023
welcome to waikiki,20,comedy,"amazon prime, netflix, viu",,Done,found family,2018
when the phone rings,12,"mystery, romance, thriller",netflix,https://i.mydramalist.com/LwqnQg_4c.jpg?v=1,In progress,"arranged marriage, childhood crush, contract marriage, slow burn",2024
while you were sleeping,32,"romance, thriller","iQIYI, netflix, viu",,Done,,2017
youth of may,12,"melodrama, romance","netflix, viu",,Done,"first love, love triangle, rich guy/poor girl",2021
